topic,term,beta
4,의원,0.062315949695642386
5,의원,0.001428952228716319
6,의원,9.358219544048472e-10
7,의원,2.6717069803455885e-12
8,의원,0.053895305295586254
9,의원,9.715579794619666e-9
1,공무원,0.01855597445309883
2,공무원,0.0025822057199636076
3,공무원,2.234860272578376e-4
4,공무원,2.023146809757107e-4
5,공무원,0.0035824183246398102
6,공무원,0.011915479545688605
7,공무원,0.004891934460788802
8,공무원,1.4173299690691548e-7
9,공무원,0.005912098002067688
1,한국토지주택공사,3.454954486083531e-27
2,한국토지주택공사,0.003392007495899408
3,한국토지주택공사,0.013071652253694202
4,한국토지주택공사,2.448582262624328e-23
5,한국토지주택공사,2.0010891743123483e-37
6,한국토지주택공사,2.450126907691046e-38
7,한국토지주택공사,0.04208558104088431
8,한국토지주택공사,5.6693839553474735e-12
9,한국토지주택공사,4.621549850289971e-4
1,공공기관,0.0010444629380175234
2,공공기관,0.007036920543385739
3,공공기관,0.00524708081685953
4,공공기관,7.853508122758594e-13
5,공공기관,8.73624695027085e-4
6,공공기관,0.001044739787170558
7,공공기관,0.0016555431791861871
8,공공기관,5.223057717549269e-4
9,공공기관,0.005414011359658657
1,국민권익위원회,0.0017917457361642647
2,국민권익위원회,0.005477818383784239
3,국민권익위원회,2.4745639541789093e-20
4,국민권익위원회,4.471531179169905e-9
5,국민권익위원회,0.005378812283702616
6,국민권익위원회,0.0243967484307882
7,국민권익위원회,9.580537315653736e-16
8,국민권익위원회,7.035035213633275e-4
9,국민권익위원회,4.516221229452256e-4
1,사건,0.0011564275579275794
2,사건,6.728692849189488e-4
3,사건,0.007031958561539086
4,사건,8.891156333572868e-4
5,사건,0.0010790737384048506
6,사건,0.0010514829429048374
7,사건,0.001093429272581279
8,사건,0.002852787824199465
9,사건,0.004673163096604248
1,공직자,0.03578009542869275
2,공직자,0.031287979753173996
3,공직자,0.00940942848088698
4,공직자,0.0034348498922236567
5,공직자,0.024442651347836113
6,공직자,0.005106270463289193
7,공직자,0.007665613236822515
8,공직자,0.0010685646753868636
9,공직자,0.009152940713878253
1,금융,0.0015092579303245877
2,금융,2.1323741644836578e-18
3,금융,2.510884634784975e-4
4,금융,7.277753551739187e-10
5,금융,1.8894411799452095e-4
6,금융,0.007300423677931928
7,금융,7.575746573840389e-4
8,금융,9.334632513817043e-4
9,금융,4.834798118830575e-4
1,주식,0.011600305560529277
2,주식,7.319637454706443e-18
3,주식,4.385353773702108e-7
4,주식,4.1357355598493185e-4
5,주식,4.022990353521092e-11
6,주식,2.0625013950680357e-14
7,주식,2.3279225328364517e-12
8,주식,0.005524373951938439
9,주식,4.943356291348496e-4
1,직원,0.0026619961892439467
2,직원,0.0017083833393042795
3,직원,0.004597694528973158
4,직원,4.38250013678459e-27
5,직원,2.119741224256092e-4
6,직원,2.3434531371647858e-4
7,직원,0.023528460351891767
8,직원,4.353283828632133e-18
9,직원,8.465015650825583e-4
1,특검,1.102131042185471e-32
2,특검,6.251436741085654e-30
3,특검,0.0063076438322002765
4,특검,4.392566290972094e-35
5,특검,6.237121832037363e-41
6,특검,1.7186750140360933e-28
7,특검,1.5086675299962832e-4
8,특검,2.296602856097574e-29
9,특검,1.5255119161122925e-30
1,이해충돌,0.021578764030205956
2,이해충돌,0.009070001335466923
3,이해충돌,0.003177564662962672
4,이해충돌,0.02978185768153543
5,이해충돌,0.007940753037043067
6,이해충돌,0.006805442764540887
7,이해충돌,0.0019989828835091034
8,이해충돌,0.026051746210759123
9,이해충돌,0.0017629534502666406
1,트럼프,1.0538480213969295e-22
2,트럼프,2.1983209524104533e-188
3,트럼프,0.002558593049331215
4,트럼프,3.802844140162201e-184
5,트럼프,1.4038727206960636e-187
6,트럼프,9.177372591110762e-180
7,트럼프,1.455738811937749e-184
8,트럼프,2.6351877989904493e-8
9,트럼프,2.9111007286624904e-30
1,토지,1.0183443804910886e-7
2,토지,9.044383271556379e-4
3,토지,7.4091998635394208e-18
4,토지,1.0314135394277035e-28
5,토지,5.943444629499398e-43
6,토지,6.122908114926154e-38
7,토지,0.018702512707605784
8,토지,5.7110932307575975e-11
9,토지,8.131160767300106e-29
1,안전,5.859742962871865e-4
2,안전,1.3871993545143605e-4
3,안전,5.89373020376669e-11
4,안전,2.2974413412259257e-25
